movie,director,m_year,critic,crit_org,crit_cn,nm_dir,director_birth,language
Man on Wire,James Marsch,2008,Butheina Kazim,Cinema Akil,UAE,1,,English
Only Lovers Left Alive,Jim Jarmusch,2013,Butheina Kazim,Cinema Akil,UAE,1,1953,English
Kill Bill: Vol. 1,Quentin Tarantino,2003,Butheina Kazim,Cinema Akil,UAE,1,1963,English
The Royal Tenenbaums,Wes Anderson,2001,Butheina Kazim,Cinema Akil,UAE,1,1969,English
Days of Glory,Rachid Bouchareb,2006,Butheina Kazim,Cinema Akil,UAE,1,1959,French
City of God,Fernando Meirelles,2002,Butheina Kazim,Cinema Akil,UAE,2,1955,Portuguese
City of God,Kátia Lund,2002,Butheina Kazim,Cinema Akil,UAE,2,1966,Portuguese
Hard to Be a God,Aleksey German,2013,Glenn Kenny,Freelance,US,1,1938,English
Cosmos,Andrzej Zulawski,2015,Glenn Kenny,Freelance,US,1,1940,English
Inside Llewyn Davis,Joel Coen,2013,Glenn Kenny,Freelance,US,2,1954,English
Inside Llewyn Davis,Ethan Coen,2013,Glenn Kenny,Freelance,US,2,1957,English
Carlos,Olivier Assayas,2010,Glenn Kenny,Freelance,US,1,1955,English
Che,Steven Soderbergh,2008,Glenn Kenny,Freelance,US,1,1963,English
The Master,Paul Thomas Anderson,2012,Glenn Kenny,Freelance,US,1,1970,English
There Will Be Blood,Paul Thomas Anderson,2007,Glenn Kenny,Freelance,US,1,1970,English
The Intruder,Claire Denis,2004,Glenn Kenny,Freelance,US,1,1946,English
Morvern Callar,Lynne Ramsay,2002,Glenn Kenny,Freelance,US,1,1969,English
25th Hour,Spike Lee,2002,Glenn Kenny,Freelance,US,1,1957,English
In the Mood for Love,Wong Kar-wai,2000,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany,1,1956,
Dogville,Lars von Trier,2003,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany,1,1956,English
Ten,Abbas Kiarostami,2002,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany,1,1940,Japanese
The White Ribbon,Michael Haneke,2009,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany,1,1942,German
The Circle,Jafar Panahi,2000,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany,1,1960,English
Bad Education,Pedro Almodóvar,2005,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany,1,1949,English
Rust and Bone,Jacques Audiard,2012,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany,1,1952,French
5x2,François Ozon,2004,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany,1,1967,French
Russian Ark,Aleksandr Sokurov,2002,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany,1,1951,Russian
Far From Heaven,Todd Haynes,2002,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany,1,1961,English
The Last of the Unjust,Claude Lanzmann,2013,Uri Klein,Haaretz,Israel,1,1925,English
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,Uri Klein,Haaretz,Israel,1,1959,English
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Uri Klein,Haaretz,Israel,1,1968,English
"Police, Adjective",Corneliu Porumboiu,2009,Uri Klein,Haaretz,Israel,1,1975,Romanian
Far From Heaven,Todd Haynes,2002,Uri Klein,Haaretz,Israel,1,1961,English
The Pianist,Roman Polanski,2002,Uri Klein,Haaretz,Israel,1,1933,English
Winter Sleep,Nuri Bilge Ceylan,2014,Uri Klein,Haaretz,Israel,1,1959,Turkish
Brokeback Mountain,Ang Lee,2005,Uri Klein,Haaretz,Israel,1,1954,English
A Separation,Asghar Farhadi,2011,Uri Klein,Haaretz,Israel,1,1972,Persian
Goodbye to Language,Jean-Luc Godard,2014,Uri Klein,Haaretz,Israel,1,1930,French
Boyhood,Richard Linklater,2014,Eric Kohn,IndieWire,US,1,1960,English
Holy Motors,Leos Carax,2012,Eric Kohn,IndieWire,US,1,1960,French
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Eric Kohn,IndieWire,US,1,1963,English
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Eric Kohn,IndieWire,US,1,1970,Thai
Enter the Void,Gaspar Noé,2009,Eric Kohn,IndieWire,US,1,1963,English
Son of Saul,László Nemes,2015,Eric Kohn,IndieWire,US,1,1977,Hungarian
Leviathan,Andrey Zvyagintsev,2014,Eric Kohn,IndieWire,US,1,1964,English
The Act of Killing,Joshua Oppenheimer,2012,Eric Kohn,IndieWire,US,1,1974,Indonesian
12 Years a Slave,Steve McQueen,2013,Eric Kohn,IndieWire,US,1,1969,English
Idiocracy,Mike Judge,2006,Eric Kohn,IndieWire,US,1,1962,English
Spirited Away,Hayao Miyazaki,2001,Dan Kois,Slate,US,1,1941,Japanese
Yi Yi: A One and a Two,Edward Yang,2000,Dan Kois,Slate,US,1,1947,Mandarin
Before Sunset,Richard Linklater,2004,Dan Kois,Slate,US,1,1960,English
You Can Count On Me,Kenneth Lonergan,2000,Dan Kois,Slate,US,1,1962,English
Inside Out,Pete Docter,2015,Dan Kois,Slate,US,1,1968,English
Morvern Callar,Lynne Ramsay,2012,Dan Kois,Slate,US,1,1969,English
Stories We Tell,Sarah Polley,2012,Dan Kois,Slate,US,1,1979,English
Animal Kingdom,David Michôd,2010,Dan Kois,Slate,US,1,,English
Attack the Block,Joe Cornish,2011,Dan Kois,Slate,US,1,1968,English
Jackass 3D,Jeff Tremaine,2010,Dan Kois,Slate,US,1,1966,English
Mulholland Drive,David Lynch,2001,Michael Koresky,The Film Society of Lincoln Center,US,1,1946,English
AI: Artificial Intelligence,Steven Spielberg,2001,Michael Koresky,The Film Society of Lincoln Center,US,1,1946,English
The Tree of Life,Terrence Malick,2011,Michael Koresky,The Film Society of Lincoln Center,US,1,1943,English
Syndromes and a Century,Apichatpong Weerasethakul,2006,Michael Koresky,The Film Society of Lincoln Center,US,1,1970,Thai
What Time Is It There?,Tsai Ming-liang,2001,Michael Koresky,The Film Society of Lincoln Center,US,1,1957,Chinese
The Intruder,Claire Denis,2004,Michael Koresky,The Film Society of Lincoln Center,US,1,1946,English
The Son,Jean-Pierre Dardenne,2002,Michael Koresky,The Film Society of Lincoln Center,US,2,1951,English
The Son,Luc Dardenne,2002,Michael Koresky,The Film Society of Lincoln Center,US,2,1954,English
Before Sunset,Richard Linklater,2004,Michael Koresky,The Film Society of Lincoln Center,US,1,1960,English
The Headless Woman,Lucrecia Martel,2008,Michael Koresky,The Film Society of Lincoln Center,US,1,1966,Spanish
Femme Fatale,Brian De Palma,2002,Michael Koresky,The Film Society of Lincoln Center,US,1,1940,English
A Separation,Asghar Farhadi,2011,Tomris Laffly,Freelance film critic,US,1,1972,Persian
Brooklyn,John Crowley,2015,Tomris Laffly,Freelance film critic,US,1,1969,English
Inside Llewyn Davis,Joel Coen,2013,Tomris Laffly,Freelance film critic,US,2,1954,English
Inside Llewyn Davis,Ethan Coen,2013,Tomris Laffly,Freelance film critic,US,2,1957,English
You Can Count On Me,Kenneth Lonergan,2000,Tomris Laffly,Freelance film critic,US,1,1962,English
Vera Drake,Mike Leigh,2004,Tomris Laffly,Freelance film critic,US,1,1943,English
Letters From Iwo Jima,Clint Eastwood,2006,Tomris Laffly,Freelance film critic,US,1,1930,Japanese
Nebraska,Alexander Payne,2013,Tomris Laffly,Freelance film critic,US,1,1961,English
The Magdalene Sisters,Peter Mullan,2002,Tomris Laffly,Freelance film critic,US,1,1959,English
Stories We Tell,Sarah Polley,2012,Tomris Laffly,Freelance film critic,US,1,1979,English
Father of My Children,Mia Hansen-Løve,2009,Tomris Laffly,Freelance film critic,US,1,1981,
The Lives of Others,Florian Henckel von Donnersmarck,2006,Rebecca Laurence,BBC Culture,UK,1,1973,English
The Act of Killing,Joshua Oppenheimer,2012,Rebecca Laurence,BBC Culture,UK,1,1974,Indonesian
Fish Tank,Andrea Arnold,2009,Rebecca Laurence,BBC Culture,UK,1,1961,English
Good Night and Good Luck,George Clooney,2005,Rebecca Laurence,BBC Culture,UK,1,1961,English
The White Ribbon,Michael Haneke,2009,Rebecca Laurence,BBC Culture,UK,1,1942,German
The Consequences of Love,Paolo Sorrentino,2004,Rebecca Laurence,BBC Culture,UK,1,1970,Italian
No Country For Old Men,Joel Coen,2007,Rebecca Laurence,BBC Culture,UK,2,1954,English
No Country For Old Men,Ethan Coen,2007,Rebecca Laurence,BBC Culture,UK,2,1957,English
A Separation,Asghar Farhadi,2011,Rebecca Laurence,BBC Culture,UK,1,1972,Persian
Ratatouille,Brad Bird,2007,Rebecca Laurence,BBC Culture,UK,2,1957,English
Ratatouille,Jan Pinkava,2007,Rebecca Laurence,BBC Culture,UK,2,1963,English
In the Mood for Love,Wong Kar-wai,2000,Rebecca Laurence,BBC Culture,UK,1,1956,
Children of Men,Alfonso Cuarón,2006,Richard Lawson,Vanity Fair,US,1,1961,Russian
No Country For Old Men,Joel Coen,2007,Richard Lawson,Vanity Fair,US,2,1954,English
No Country For Old Men,Ethan Coen,2007,Richard Lawson,Vanity Fair,US,2,1957,English
Before Sunset,Richard Linklater,2004,Richard Lawson,Vanity Fair,US,1,1960,English
Summer Hours,Olivier Assayas,2008,Richard Lawson,Vanity Fair,US,1,1955,French
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Richard Lawson,Vanity Fair,US,1,1963,English
Wet Hot American Summer,David Wain,2001,Richard Lawson,Vanity Fair,US,1,1969,English
Cast Away,Robert Zemeckis,2000,Richard Lawson,Vanity Fair,US,1,1952,English
Caché,Michael Haneke,2005,Richard Lawson,Vanity Fair,US,1,1942,French
Traffic,Steven Soderbergh,2000,Richard Lawson,Vanity Fair,US,1,1963,English
Weekend,Andrew Haigh,2011,Richard Lawson,Vanity Fair,US,1,March 7,English
Yi Yi: A One and a Two,Edward Yang,2000,Maggie Lee,Variety,Hong Kong,1,1947,Mandarin
Café Lumière,Hou Hsiao-hsien,2003,Maggie Lee,Variety,Hong Kong,1,1947,Japanese
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Maggie Lee,Variety,Hong Kong,1,1968,English
The White Ribbon,Michael Haneke,2009,Maggie Lee,Variety,Hong Kong,1,1942,German
In the Mood for Love,Wong Kar-wai,2000,Maggie Lee,Variety,Hong Kong,1,1956,
Millennium Actress,Satoshi Kon,2001,Maggie Lee,Variety,Hong Kong,1,1963,Japanese
Spirited Away,Hayao Miyazaki,2001,Maggie Lee,Variety,Hong Kong,1,1941,Japanese
A Separation,Asghar Farhadi,2011,Maggie Lee,Variety,Hong Kong,1,1972,Persian
35 Shots of Rum,Claire Denis,2008,Maggie Lee,Variety,Hong Kong,1,1946,
Toni Erdmann,Maren Ade,2016,Maggie Lee,Variety,Hong Kong,1,1976,French
The Grand Budapest Hotel,Wes Anderson,2014,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,1,1969,English
Brooklyn,John Crowley,2015,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,1,1969,English
Mad Max: Fury Road,George Miller,2015,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,1,1945,English
Pan's Labyrinth,Guillermo Del Toro,2006,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,1,1964,Spanish
Hotel Rwanda,Terry George,2004,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,1,1952,English
Silver Linings Playbook,David O. Russell,2012,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,1,1958,English
Birdman,Alejandro González Iñárritu,2014,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,1,,English
Inception,Christopher Nolan,2010,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,1,1970,English
The Curious Case of Benjamin Button,David Fincher,2008,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,1,1962,English
Inglourious Basterds,Quentin Tarantino,2009,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,1,1963,English
Moulin Rouge!,Baz Luhrmann,2001,Guy Lodge,Variety/The Observer,UK,1,1962,English
White Material,Claire Denis,2009,Guy Lodge,Variety/The Observer,UK,1,1946,French
Birth,Jonathan Glazer,2004,Guy Lodge,Variety/The Observer,UK,1,1965,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Guy Lodge,Variety/The Observer,UK,1,1963,English
Talk to Her,Pedro Almodóvar,2002,Guy Lodge,Variety/The Observer,UK,1,1949,Spanish
Wendy and Lucy,Kelly Reichardt,2008,Guy Lodge,Variety/The Observer,UK,1,1964,English
Spirited Away,Hayao Miyazaki,2001,Guy Lodge,Variety/The Observer,UK,1,1941,Japanese
Gravity,Alfonso Cuarón,2013,Guy Lodge,Variety/The Observer,UK,1,1961,English
Tabu,Miguel Gomes,2012,Guy Lodge,Variety/The Observer,UK,1,1972,Portuguese
Weekend,Andrew Haigh,2011,Guy Lodge,Variety/The Observer,UK,1,March 7,English
In the Mood for Love,Wong Kar-wai,2000,Mario Naito López,Cuban Film Press Association,Cuba,1,1956,
"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,2003,Mario Naito López,Cuban Film Press Association,Cuba,1,1960,
A History of Violence,David Cronenberg,2005,Mario Naito López,Cuban Film Press Association,Cuba,1,1943,English
Talk to Her,Pedro Almodóvar,2002,Mario Naito López,Cuban Film Press Association,Cuba,1,1949,Spanish
Carol,Todd Haynes,2015,Mario Naito López,Cuban Film Press Association,Cuba,1,1961,English
Melancholia,Lars von Trier,2011,Mario Naito López,Cuban Film Press Association,Cuba,1,1956,English
The White Ribbon,Michael Haneke,2009,Mario Naito López,Cuban Film Press Association,Cuba,1,1942,German
The Return,Andrey Zvyagintsev,2003,Mario Naito López,Cuban Film Press Association,Cuba,1,1964,English
The Child,Jean-Pierre Dardenne,2005,Mario Naito López,Cuban Film Press Association,Cuba,2,1951,Italian
The Child,Luc Dardenne,2005,Mario Naito López,Cuban Film Press Association,Cuba,2,1954,Italian
Silent Light,Carlos Reygadas,2007,Mario Naito López,Cuban Film Press Association,Cuba,1,1971,Low German
In the Mood for Love,Wong Kar-wai,2000,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,1,1956,
Tropical Malady,Apichatpong Weerasethakul,2004,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,1,1970,Thai
Mulholland Drive,David Lynch,2001,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,1,1946,English
The Assassin,Hou Hsiao-hsien,2015,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,1,1947,English
Shame,Steve McQueen,2011,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,1,1969,English
Spirited Away,Hayao Miyazaki,2001,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,1,1941,Japanese
The Hurt Locker,Kathryn Bigelow,2008,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,1,1951,English
Toni Erdmann,Maren Ade,2016,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,1,1976,French
Winter's Bone,Debra Granik,2010,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,1,1963,English
A Prophet,Jacques Audiard,2009,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,1,1952,French
Moon,Duncan Jones,2009,Fiona Macdonald,BBC Culture,UK,1,1971,English
The Great Beauty,Paolo Sorrentino,2013,Fiona Macdonald,BBC Culture,UK,1,1970,Italian
The Lives of Others,Florian Henckel von Donnersmarck,2006,Fiona Macdonald,BBC Culture,UK,1,1973,English
In the Mood for Love,Wong Kar-wai,2000,Fiona Macdonald,BBC Culture,UK,1,1956,
The Taste of Others,Agnès Jaoui,2000,Fiona Macdonald,BBC Culture,UK,1,1964,Korean
Wild Tales,Damián Szifrón,2014,Fiona Macdonald,BBC Culture,UK,1,1975,Spanish
Bridesmaids,Paul Feig,2011,Fiona Macdonald,BBC Culture,UK,1,1962,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Fiona Macdonald,BBC Culture,UK,1,1963,English
"O Brother, Where Art Thou?",Joel Coen,2000,Fiona Macdonald,BBC Culture,UK,2,1954,English
"O Brother, Where Art Thou?",Ethan Coen,2000,Fiona Macdonald,BBC Culture,UK,2,1957,English
Inglourious Basterds,Quentin Tarantino,2009,Fiona Macdonald,BBC Culture,UK,1,1963,English
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,Laya Maheshwari,Freelance film critic,India,1,1959,English
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,Laya Maheshwari,Freelance film critic,India,1,1967,English
The Social Network,David Fincher,2010,Laya Maheshwari,Freelance film critic,India,1,1962,English
The Grand Budapest Hotel,Wes Anderson,2014,Laya Maheshwari,Freelance film critic,India,1,1969,English
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,Laya Maheshwari,Freelance film critic,India,1,1961,English
The Tree of Life,Terrence Malick,2011,Laya Maheshwari,Freelance film critic,India,1,1943,English
Holy Motors,Leos Carax,2012,Laya Maheshwari,Freelance film critic,India,1,1960,French
Timbuktu,Abderrahmane Sissako,2014,Laya Maheshwari,Freelance film critic,India,1,1961,French
No,Pablo Larraín,2012,Laya Maheshwari,Freelance film critic,India,1,1976,English
Pan's Labyrinth,Guillermo Del Toro,2006,Laya Maheshwari,Freelance film critic,India,1,1964,Spanish
Moolaadé,Ousmane Sembène,2004,Hans-Christian Mahnke,AfricAvenir.org,Namibia,1,1923,Bambara
Days of Glory,Rachid Bouchareb,2006,Hans-Christian Mahnke,AfricAvenir.org,Namibia,1,1959,French
Timbuktu,Abderrahmane Sissako,2014,Hans-Christian Mahnke,AfricAvenir.org,Namibia,1,1961,French
Making Of,Nouri Bouzid,2006,Hans-Christian Mahnke,AfricAvenir.org,Namibia,1,1945,English
House of Flying Daggers,Zhang Yimou,2004,Hans-Christian Mahnke,AfricAvenir.org,Namibia,1,1951,English
City of God,Fernando Meirelles,2002,Hans-Christian Mahnke,AfricAvenir.org,Namibia,2,1955,Portuguese
City of God,Kátia Lund,2002,Hans-Christian Mahnke,AfricAvenir.org,Namibia,2,1966,Portuguese
Miners Shot Down,Rehad Desai,2014,Hans-Christian Mahnke,AfricAvenir.org,Namibia,1,,English
678,Mohamed Diab,2010,Hans-Christian Mahnke,AfricAvenir.org,Namibia,1,1978,Arabic
Hijack Stories,Oliver Schmitz,2000,Hans-Christian Mahnke,AfricAvenir.org,Namibia,1,1960,English
Waltz with Bashir,Ari Folman,2008,Hans-Christian Mahnke,AfricAvenir.org,Namibia,1,1962,Hebrew
No Country For Old Men,Joel Coen,2007,Ben Mankiewicz,Turner Classic Movies,US,2,1954,English
No Country For Old Men,Ethan Coen,2007,Ben Mankiewicz,Turner Classic Movies,US,2,1957,English
Spotlight,Tom McCarthy,2015,Ben Mankiewicz,Turner Classic Movies,US,1,1966,English
United 93,Paul Greengrass,2006,Ben Mankiewicz,Turner Classic Movies,US,1,1955,English
The Gatekeepers,Dror Moreh,2012,Ben Mankiewicz,Turner Classic Movies,US,1,,Hebrew
Sexy Beast,Jonathan Glazer,2000,Ben Mankiewicz,Turner Classic Movies,US,1,1965,English
A Separation,Asghar Farhadi,2011,Ben Mankiewicz,Turner Classic Movies,US,1,1972,Persian
Memento,Christopher Nolan,2000,Ben Mankiewicz,Turner Classic Movies,US,1,1970,English
Letters From Iwo Jima,Clint Eastwood,2006,Ben Mankiewicz,Turner Classic Movies,US,1,1930,Japanese
Anchorman: The Legend of Ron Burgundy,Adam McKay,2004,Ben Mankiewicz,Turner Classic Movies,US,1,1968,English
The Wrestler,Darren Aronofsky,2008,Ben Mankiewicz,Turner Classic Movies,US,1,1969,English
Los Angeles Plays Itself,Thom Andersen,2003,Calum Marsh,Freelance film critic,Canada,1,1943,English
Mulholland Drive,David Lynch,2001,Calum Marsh,Freelance film critic,Canada,1,1946,English
Goodbye to Language,Jean-Luc Godard,2014,Calum Marsh,Freelance film critic,Canada,1,1930,French
Millennium Mambo,Hou Hsiao-hsien,2001,Calum Marsh,Freelance film critic,Canada,1,1947,English
Margaret,Kenneth Lonergan,2011,Calum Marsh,Freelance film critic,Canada,1,1962,English
Crank,Mark Neveldine,2006,Calum Marsh,Freelance film critic,Canada,2,May 11,English
Crank,Brian Taylor,2006,Calum Marsh,Freelance film critic,Canada,2,,English
The Forest for the Trees,Maren Ade,2003,Calum Marsh,Freelance film critic,Canada,1,1976,English
Miami Vice,Michael Mann,2006,Calum Marsh,Freelance film critic,Canada,1,1943,English
Woman on the Beach,Hong Sang-soo,2006,Calum Marsh,Freelance film critic,Canada,1,1960,English
The Son,Jean-Pierre Dardenne,2002,Calum Marsh,Freelance film critic,Canada,2,1951,English
The Son,Luc Dardenne,2002,Calum Marsh,Freelance film critic,Canada,2,1954,English
Yi Yi: A One and a Two,Edward Yang,2000,Lee Marshall,Screen International,Italy,1,1947,Mandarin
The White Ribbon,Michael Haneke,2009,Lee Marshall,Screen International,Italy,1,1942,German
Fish Tank,Andrea Arnold,2009,Lee Marshall,Screen International,Italy,1,1961,English
Spirited Away,Hayao Miyazaki,2001,Lee Marshall,Screen International,Italy,1,1941,Japanese
Timbuktu,Abderrahmane Sissako,2014,Lee Marshall,Screen International,Italy,1,1961,French
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Lee Marshall,Screen International,Italy,1,1968,English
No Country For Old Men,Joel Coen,2007,Lee Marshall,Screen International,Italy,2,1954,English
No Country For Old Men,Ethan Coen,2007,Lee Marshall,Screen International,Italy,2,1957,English
Silent Souls,Aleksey Fedorchenko,2010,Lee Marshall,Screen International,Italy,1,1966,Russian
A Separation,Asghar Farhadi,2011,Lee Marshall,Screen International,Italy,1,1972,Persian
Nostalgia for the Light,Patricio Guzmán,2010,Lee Marshall,Screen International,Italy,1,1941,
Holy Motors,Leos Carax,2012,Adrian Martin,Lola Magazine,Australia,1,1960,French
Lifeline,Víctor Erice,2002,Adrian Martin,Lola Magazine,Australia,1,1940,English
Certified Copy,Abbas Kiarostami,2010,Adrian Martin,Lola Magazine,Australia,1,1940,French
Kung Fu Hustle,Stephen Chow,2004,Adrian Martin,Lola Magazine,Australia,1,1962,Cantonese
Instructions for a Light and Sound Machine,Peter Tscherkassky,2005,Adrian Martin,Lola Magazine,Australia,1,1958,
Un lac,Philippe Grandrieux,2008,Adrian Martin,Lola Magazine,Australia,1,1954,French
Detention,Joseph Kahn,2011,Adrian Martin,Lola Magazine,Australia,1,1972,English
A Vingança de Uma Mulher,Rita Azevedo Gomes,2012,Adrian Martin,Lola Magazine,Australia,1,,Portuguese
Mia Madre,Nanni Moretti,2015,Adrian Martin,Lola Magazine,Australia,1,1953,Italian
Femme Fatale,Brian De Palma,2002,Adrian Martin,Lola Magazine,Australia,1,1940,English
The Wolf of Wall Street,Martin Scorsese,2013,Antonio Martínez,El Mercurio,Chile,1,1942,English
No Country For Old Men,Joel Coen,2007,Antonio Martínez,El Mercurio,Chile,2,1954,English
No Country For Old Men,Ethan Coen,2007,Antonio Martínez,El Mercurio,Chile,2,1957,English
Spirited Away,Hayao Miyazaki,2001,Antonio Martínez,El Mercurio,Chile,1,1941,Japanese
Million Dollar Baby,Clint Eastwood,2004,Antonio Martínez,El Mercurio,Chile,1,1930,English
The Ghost Writer,Roman Polanski,2010,Antonio Martínez,El Mercurio,Chile,1,1933,English
The Son's Room,Nanni Moretti,2001,Antonio Martínez,El Mercurio,Chile,1,1953,Italian
A History of Violence,David Cronenberg,2005,Antonio Martínez,El Mercurio,Chile,1,1943,English
Talk to Her,Pedro Almodóvar,2002,Antonio Martínez,El Mercurio,Chile,1,1949,Spanish
Before the Devil Knows You're Dead,Sidney Lumet,2007,Antonio Martínez,El Mercurio,Chile,1,1924,English
Match Point,Woody Allen,2005,Antonio Martínez,El Mercurio,Chile,1,1935,English
Carlos,Olivier Assayas,2010,Todd McCarthy,The Hollywood Reporter,US,1,1955,English
Zodiac,David Fincher,2007,Todd McCarthy,The Hollywood Reporter,US,1,1962,English
Leviathan,Andrey Zvyagintsev,2014,Todd McCarthy,The Hollywood Reporter,US,1,1964,English
Mulholland Drive,David Lynch,2001,Todd McCarthy,The Hollywood Reporter,US,1,1946,English
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,Todd McCarthy,The Hollywood Reporter,US,1,1967,English
The Incredibles,Brad Bird,2004,Todd McCarthy,The Hollywood Reporter,US,1,1957,English
Children of Men,Alfonso Cuarón,2006,Todd McCarthy,The Hollywood Reporter,US,1,1961,Russian
Fantastic Mr Fox,Wes Anderson,2009,Todd McCarthy,The Hollywood Reporter,US,1,1969,English
Grizzly Man,Werner Herzog,2005,Todd McCarthy,The Hollywood Reporter,US,1,1942,English
Brokeback Mountain,Ang Lee,2005,Todd McCarthy,The Hollywood Reporter,US,1,1954,English
You Ain’t Seen Nothin’ Yet,Alain Resnais,2012,Joe McElhaney,Hunter College,US,1,1922,
No Home Movie,Chantal Akerman,2015,Joe McElhaney,Hunter College,US,1,1950,French
The Romance of Astrea and Celadon,Éric Rohmer,2009,Joe McElhaney,Hunter College,US,1,1920,French
The Strange Case of Angelica,Manoel de Oliveira,2010,Joe McElhaney,Hunter College,US,1,1908,Portuguese
Michelangelo Eye to Eye,Michelangelo Antonioni,2004,Joe McElhaney,Hunter College,US,1,1912,
Warming by the Devil's Fire,Charles Burnett,2003,Joe McElhaney,Hunter College,US,1,1944,
The New World,Terrence Malick,2005,Joe McElhaney,Hunter College,US,1,1943,English
Café Lumière,Hou Hsiao-hsien,2003,Joe McElhaney,Hunter College,US,1,1947,Japanese
You Will Meet a Tall Dark Stranger,Woody Allen,2010,Joe McElhaney,Hunter College,US,1,1935,English
The Hateful Eight,Quentin Tarantino,2015,Joe McElhaney,Hunter College,US,1,1963,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Drew McWeeny,HitFix,US,1,1963,English
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,Drew McWeeny,HitFix,US,1,1954,Mandarin
Holy Motors,Leos Carax,2012,Drew McWeeny,HitFix,US,1,1960,French
City of God,Fernando Meirelles,2002,Drew McWeeny,HitFix,US,2,1955,Portuguese
City of God,Kátia Lund,2002,Drew McWeeny,HitFix,US,2,1966,Portuguese
Enter the Void,Gaspar Noé,2009,Drew McWeeny,HitFix,US,1,1963,English
Hedwig and the Angry Inch,John Cameron Mitchell,2001,Drew McWeeny,HitFix,US,1,1963,English
Melancholia,Lars von Trier,2011,Drew McWeeny,HitFix,US,1,1956,English
Mad Max: Fury Road,George Miller,2015,Drew McWeeny,HitFix,US,1,1945,English
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,Drew McWeeny,HitFix,US,1,1961,English
Grizzly Man,Werner Herzog,2005,Drew McWeeny,HitFix,US,1,1942,English
Inherent Vice,Paul Thomas Anderson,2014,Kim Morgan,Sight & Sound/Criterion,US,1,1970,English
Mulholland Drive,David Lynch,2001,Kim Morgan,Sight & Sound/Criterion,US,1,1946,English
Melancholia,Lars von Trier,2011,Kim Morgan,Sight & Sound/Criterion,US,1,1956,English
There Will Be Blood,Paul Thomas Anderson,2007,Kim Morgan,Sight & Sound/Criterion,US,1,1970,English
Under the Skin,Jonathan Glazer,2013,Kim Morgan,Sight & Sound/Criterion,US,1,1965,English
Fat Girl,Catherine Breillat,2001,Kim Morgan,Sight & Sound/Criterion,US,1,1948,French
A Serious Man,Joel Coen,2009,Kim Morgan,Sight & Sound/Criterion,US,2,1954,English
A Serious Man,Ethan Coen,2009,Kim Morgan,Sight & Sound/Criterion,US,2,1957,English
Battle Royale,Kinji Fukasaku,2000,Kim Morgan,Sight & Sound/Criterion,US,1,1930,Japanese
The Turin Horse,Béla Tarr,2011,Kim Morgan,Sight & Sound/Criterion,US,2,1955,Hungarian
