movie,link
Collateral,https://www.imdb.com/title/tt0369339/?ref_=fn_all_ttl_1
Colossal Youth,https://www.imdb.com/title/tt0460480/?ref_=fn_all_ttl_1
Coma,https://www.imdb.com/title/tt0077355/?ref_=fn_all_ttl_1
Coming Home,https://www.imdb.com/title/tt0077362/?ref_=fn_all_ttl_1
Conversations on a Sunday Afternoon,https://www.imdb.com/title/tt0471130/?ref_=fn_all_ttl_1
Cosmos,https://www.imdb.com/title/tt2395695/?ref_=fn_all_ttl_1
Court,https://www.imdb.com/title/tt13798316/?ref_=fn_all_ttl_1
Crank,https://www.imdb.com/title/tt0479884/?ref_=fn_all_ttl_1
Crimson Gold,https://www.imdb.com/title/tt0371280/?ref_=fn_all_ttl_1
"Crouching Tiger, Hidden Dragon",https://www.imdb.com/title/tt3981658/?ref_=fn_all_ttl_1
Cuba: An African Odyssey,https://www.imdb.com/title/tt1106760/?ref_=fn_all_ttl_1
Dancer in the Dark,https://www.imdb.com/title/tt0168629/?ref_=fn_all_ttl_1
Daylight Moon,https://www.imdb.com/title/tt0360504/?ref_=fn_all_ttl_1
Days of Glory,https://www.imdb.com/title/tt0444182/?ref_=fn_all_ttl_1
Death Proof – Grindhouse,https://www.imdb.com/title/tt34025154/?ref_=fn_all_ttl_1
Detention,https://www.imdb.com/title/tt1701990/?ref_=fn_all_ttl_1
Dev D,https://www.imdb.com/title/tt2147999/?ref_=fn_all_ttl_1
Dirty Pretty Things,https://www.imdb.com/title/tt0301199/?ref_=fn_all_ttl_1
Distant,https://www.imdb.com/title/tt9883398/?ref_=fn_all_ttl_1
District 9,https://www.imdb.com/title/tt1136608/?ref_=fn_all_ttl_1
Divine Intervention,https://www.imdb.com/title/tt0274428/?ref_=fn_all_ttl_1
Django Unchained,https://www.imdb.com/title/tt1853728/?ref_=fn_all_ttl_1
Dogtooth,https://www.imdb.com/title/tt1379182/?ref_=fn_all_ttl_1
Dogville,https://www.imdb.com/title/tt0276919/?ref_=fn_all_ttl_1
Donnie Darko,https://www.imdb.com/title/tt0246578/?ref_=fn_all_ttl_1
Dreams of a Life,https://www.imdb.com/title/tt1819513/?ref_=fn_all_ttl_1
Drive,https://www.imdb.com/title/tt0780504/?ref_=fn_all_ttl_1
Déjà Vu,https://www.imdb.com/title/tt0453467/?ref_=fn_all_ttl_1
"Eat, Sleep, Die",https://www.imdb.com/title/tt2085002/?ref_=fn_all_ttl_1
Eden,https://www.imdb.com/title/tt23149780/?ref_=fn_all_ttl_1
Eldorado,https://www.imdb.com/title/tt0133301/?ref_=fn_all_ttl_1
Elena,https://www.imdb.com/title/tt1575539/?ref_=fn_all_ttl_1
Elephant,https://www.imdb.com/title/tt0363589/?ref_=fn_all_ttl_1
Enter the Void,https://www.imdb.com/title/tt1191111/?ref_=fn_all_ttl_1
Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/?ref_=fn_all_ttl_1
